company_id,payment_note_date,payment_note_amount,financials_date,financials_date-1,financials_date-2,financials_date-3,financials_date-4,revenue,revenue-1,revenue-2,revenue-3,revenue-4,net_sales,net_sales-1,net_sales-2,net_sales-3,net_sales-4,profit_after_net_financial_items,profit_after_net_financial_items-1,profit_after_net_financial_items-2,profit_after_net_financial_items-3,profit_after_net_financial_items-4,profit,profit-1,profit-2,profit-3,profit-4,assets,assets-1,assets-2,assets-3,assets-4,lt_liabilities,lt_liabilities-1,lt_liabilities-2,lt_liabilities-3,lt_liabilities-4,equity,equity-1,equity-2,equity-3,equity-4,equity_ratio,equity_ratio-1,equity_ratio-2,equity_ratio-3,equity_ratio-4,profit_margin,profit_margin-1,profit_margin-2,profit_margin-3,profit_margin-4,cash_ratio,cash_ratio-1,cash_ratio-2,cash_ratio-3,cash_ratio-4,Rating
1,2014/06/12,6487,Aug-18,Aug-17,Aug-16,Aug-15,Aug-14,5677,8673,8532,7825,5385,5677,8663,8532,7811,5385,832,1173,878,1310,-292,486,686,511,1096,-291,3453,2980,2810,2806,1401,125,0,0,0,0,1807,1321,1235,1724,628,68.6,57.8,50.1,61.4,44.8,14.7,13.6,10.3,16.8,-5.4,395.5,232.4,184.7,236.4,148.1,AAA
2,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,10617,8266,9713,9428,7394,10506,8254,9452,9349,7328,1160,747,1531,2137,1198,790,591,911,1263,680,4731,4253,4696,4012,2641,30,27,27,27,84,1121,1331,1740,1328,1015,49,56.9,60.5,53.6,52.6,10.9,9.1,15.9,23.1,16.8,229,280.7,296.1,234,213,AA
3,,,Dec-17,,,,,7201,,,,,7201,,,,,410,,,,,220,,,,,2317,,,,,280,,,,,270,,,,,15.9,,,,,6,,,,,128.1,,,,,AA
4,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,22629,20668,24591,23754,23656,22619,20667,24215,23397,23512,486,10,688,-13,389,286,-17,600,-48,128,6798,5824,6389,5836,6970,150,180,245,323,549,487,200,818,368,536,13.2,9.6,18.7,12.3,13.4,2.3,0.2,2.9,0.1,1.9,97.8,89.2,82.2,72.4,92.9,A
5,2015/05/03,85539,Jul-18,Jul-17,Jul-16,Jul-15,Jul-14,10221,8358,5865,4038,5128,10216,8358,5823,3998,5128,866,1205,-59,-69,477,562,634,12,2,236,3347,2386,1908,1576,2277,183,253,281,528,393,753,691,387,375,373,36.9,44.4,23.6,31.8,24.6,8.6,14.6,-0.4,-0.6,9.7,159.9,183.1,112.5,215.5,134.3,AA
6,,,Apr-18,Apr-17,Apr-16,Apr-15,,6073,4110,8158,7437,,6063,4096,8098,7428,,478,-299,1146,1334,,370,-12,665,773,,2200,2452,2626,2418,,0,100,0,0,,1377,1166,1338,823,,74.8,58.5,69.7,45.1,,8,-7.1,14.1,18.1,,455.8,289,395.7,190.3,,AA
7,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,8435,6456,6783,7004,6252,8435,6456,6783,7004,6252,1060,191,765,-216,-461,821,147,736,-216,-461,2124,1265,1385,1029,1077,0,0,0,73,149,1034,463,316,-420,-203,48.7,36.6,22.8,-40.8,-18.8,12.6,3.1,11.6,-2.5,-7.1,188.9,151.4,125.8,73.1,92.4,AAA
8,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,24816,17659,13240,11959,9006,24649,17447,13061,11959,9006,1838,341,174,415,-208,1054,177,128,330,-36,7099,5084,6069,2822,1931,1422,1494,1459,20,446,2025,971,794,666,336,34.9,20.8,13.1,23.6,17.4,7.8,2.8,2.3,3.9,-1.6,152.6,103.3,93.1,103.5,119.8,AAA
9,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,10321,8410,4526,3602,2462,10297,8396,4513,3602,2462,256,538,249,126,6,225,337,124,74,4,3301,2215,1622,1000,662,185,33,0,0,0,903,678,530,406,332,35.1,43.5,45.3,54,66.9,2.6,6.4,5.5,3.6,0.2,136.2,113.9,92.3,115.6,153.7,AA
10,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5165,3264,3305,2717,1928,4898,3151,3202,2770,1791,221,303,433,159,8,180,184,338,105,7,1864,2171,1235,892,282,709,857,237,256,0,830,750,567,228,124,48.9,38.7,49,30,51.7,5,10.2,13.6,6.4,0.6,405.9,266.4,222,123.2,100,AA
